LSOA21CD,IMD_Decile,group_key,accessibility_score,group,imd
E01001010,2,older_walk_index,15.7333333333333,Older adults,2
E01001011,3,older_walk_index,46.2,Older adults,3
E01001012,2,older_walk_index,33.4666666666667,Older adults,2
E01001013,1,older_walk_index,28.6666666666667,Older adults,1
E01001015,4,older_walk_index,21.3333333333333,Older adults,4
E01001016,6,older_walk_index,15.3333333333333,Older adults,6
E01001017,9,older_walk_index,13.3333333333333,Older adults,9
E01001018,9,older_walk_index,7.86666666666667,Older adults,9
E01001019,10,older_walk_index,19.8666666666667,Older adults,10
E01001020,9,older_walk_index,40.6666666666667,Older adults,9
E01001021,2,older_walk_index,16.4,Older adults,2
E01001022,8,older_walk_index,14,Older adults,8
E01001023,4,older_walk_index,52.0666666666667,Older adults,4
E01001024,8,older_walk_index,33.2666666666667,Older adults,8
E01001025,9,older_walk_index,20.4,Older adults,9
E01001026,7,older_walk_index,18.9333333333333,Older adults,7
E01001027,8,older_walk_index,4.66666666666667,Older adults,8
E01001028,9,older_walk_index,12.7333333333333,Older adults,9
E01001029,6,older_walk_index,14.6666666666667,Older adults,6
E01001030,9,older_walk_index,11.2,Older adults,9
E01001031,9,older_walk_index,25.9333333333333,Older adults,9
E01001032,10,older_walk_index,37.8,Older adults,10
E01001033,6,older_walk_index,62.4,Older adults,6
E01001034,6,older_walk_index,39.7333333333333,Older adults,6
E01001035,5,older_walk_index,12.6,Older adults,5
E01001036,7,older_walk_index,8.26666666666667,Older adults,7
E01001037,5,older_walk_index,29.8666666666667,Older adults,5
E01001038,5,older_walk_index,10.9333333333333,Older adults,5
E01001039,8,older_walk_index,17.7333333333333,Older adults,8
E01001040,6,older_walk_index,34.2666666666667,Older adults,6
E01001041,5,older_walk_index,48,Older adults,5
E01001042,2,older_walk_index,48.1333333333333,Older adults,2
E01001044,8,older_walk_index,16.4666666666667,Older adults,8
E01001046,8,older_walk_index,8.66666666666667,Older adults,8
E01001047,4,older_walk_index,32.6666666666667,Older adults,4
E01001049,7,older_walk_index,2.8,Older adults,7
E01001050,4,older_walk_index,20.1333333333333,Older adults,4
